noise percentage,Metric,Precision
5,CategoricalNB,0.8851008011999999
10,CategoricalNB,0.8771919719105445
15,CategoricalNB,0.8788629449030967
20,CategoricalNB,0.8808950741144321
5,CN2,0.8132054794
10,CN2,0.8729074790089026
15,CN2,0.8745141655829656
20,CN2,0.8644490721823771
5,countcp,0.030172413800000002
10,countcp,0.0
15,countcp,0.0
20,countcp,0.0
5,DT,0.9586446786
10,DT,0.9580789575897354
15,DT,0.9617433062934924
20,DT,0.9593973624064078
5,KNN,0.948371359
10,KNN,0.9450005198477708
15,KNN,0.9457495382483755
20,KNN,0.9141251451279997
5,MLP,0.9738970456
10,MLP,0.9758298111597103
15,MLP,0.9788387694110341
20,MLP,0.9835265488211717
5,random_forest,0.9627625999999999
10,random_forest,0.9649553675554919
15,random_forest,0.9653485527477209
20,random_forest,0.9645940564962762
