noise percentage,Metric,Recall
5,CategoricalNB,0.937780528
10,CategoricalNB,0.936710100864322
15,CategoricalNB,0.936372549496393
20,CategoricalNB,0.937316648757497
5,CN2,0.918314653
10,CN2,0.9531261770674799
15,CN2,0.9571325598445546
20,CN2,0.9510349992007017
5,countcp,0.0032520932000000002
10,countcp,0.0
15,countcp,0.0
20,countcp,0.0
5,DT,0.9924731290000001
10,DT,0.9925134090130421
15,DT,0.994692593172116
20,DT,0.9943325580082537
5,KNN,0.9380311971999999
10,KNN,0.8508771658435537
15,KNN,0.7927831984831083
20,KNN,0.718688050234896
5,MLP,0.9460136219999999
10,MLP,0.9443483227249754
15,MLP,0.9436796639671821
20,MLP,0.938355640887786
5,random_forest,0.9931820905999998
10,random_forest,0.9921200160163853
15,random_forest,0.989043737837989
20,random_forest,0.9851179554170397
